PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28921526","Parsing heterogeneity in attention-deficit hyperactivity disorder using EEG-based subgroups","Loo SK, McGough JJ, McCracken JT, Smalley SL.","J Child Psychol Psychiatry. 2018 Mar;59(3):223-231. doi: 10.1111/jcpp.12814. Epub 2017 Sep 18.","Loo SK","J Child Psychol Psychiatry","2018","2017/09/19","PMC5812789","NIHMS900999","10.1111/jcpp.12814"
"38801083","Attention Deficit/Hyperactivity Disorder in Individuals with Non-Syndromic Craniosynostosis: A Systematic Review and Meta-Analysis","Osborn AJ, Lange O, Roberts RM.","Dev Neuropsychol. 2024 Aug;49(5):191-206. doi: 10.1080/87565641.2024.2357801. Epub 2024 May 27.","Osborn AJ","Dev Neuropsychol","2024","2024/05/27","","","10.1080/87565641.2024.2357801"
"25768242","South African foundation phase teachers' perceptions of ADHD at private and public schools","Kern A, Amod Z, Seabi J, Vorster A.","Int J Environ Res Public Health. 2015 Mar 11;12(3):3042-59. doi: 10.3390/ijerph120303042.","Kern A","Int J Environ Res Public Health","2015","2015/03/14","PMC4377951","","10.3390/ijerph120303042"
"30092917","Functional Neuroimaging Evidence for Distinct Neurobiological Pathways in Attention-Deficit/Hyperactivity Disorder","Stevens MC, Pearlson GD, Calhoun VD, Bessette KL.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2018 Aug;3(8):675-685. doi: 10.1016/j.bpsc.2017.09.005. Epub 2017 Sep 23.","Stevens MC","Biol Psychiatry Cogn Neurosci Neuroimaging","2018","2018/08/11","PMC6089229","NIHMS908248","10.1016/j.bpsc.2017.09.005"
"35170571","The Impact of Preinjury and Secondary Attention-Deficit/Hyperactivity Disorder on Outcomes After Pediatric Traumatic Brain Injury","Narad ME, Kaizar EE, Zhang N, Taylor HG, Yeates KO, Kurowski BG, Wade SL.","J Dev Behav Pediatr. 2022 Aug 1;43(6):e361-e369. doi: 10.1097/DBP.0000000000001067. Epub 2022 Feb 15.","Narad ME","J Dev Behav Pediatr","2022","2022/02/16","PMC9329149","NIHMS1768906","10.1097/DBP.0000000000001067"
"28580295","Regional brain network organization distinguishes the combined and inattentive subtypes of Attention Deficit Hyperactivity Disorder","Saad JF, Griffiths KR, Kohn MR, Clarke S, Williams LM, Korgaonkar MS.","Neuroimage Clin. 2017 May 22;15:383-390. doi: 10.1016/j.nicl.2017.05.016. eCollection 2017.","Saad JF","Neuroimage Clin","2017","2017/06/06","PMC5447655","","10.1016/j.nicl.2017.05.016"
"23338519","I know it when I quantify it: ecological momentary assessment and recurrence quantification analysis of emotion dysregulation in children with ADHD","Rosen PJ, Epstein JN, Van Orden G.","Atten Defic Hyperact Disord. 2013 Sep;5(3):283-94. doi: 10.1007/s12402-013-0101-2. Epub 2013 Jan 22.","Rosen PJ","Atten Defic Hyperact Disord","2013","2013/01/23","PMC3714339","NIHMS455259","10.1007/s12402-013-0101-2"
"29508250","The Mechanism of Cortico-Striato-Thalamo-Cortical Neurocircuitry in Response Inhibition and Emotional Responding in Attention Deficit Hyperactivity Disorder with Comorbid Disruptive Behavior Disorder","Zhu Y, Jiang X, Ji W.","Neurosci Bull. 2018 Jun;34(3):566-572. doi: 10.1007/s12264-018-0214-x. Epub 2018 Mar 5.","Zhu Y","Neurosci Bull","2018","2018/03/07","PMC5960450","","10.1007/s12264-018-0214-x"
"28342214","Real-time fMRI neurofeedback in adolescents with attention deficit hyperactivity disorder","Alegria AA, Wulff M, Brinson H, Barker GJ, Norman LJ, Brandeis D, Stahl D, David AS, Taylor E, Giampietro V, Rubia K.","Hum Brain Mapp. 2017 Jun;38(6):3190-3209. doi: 10.1002/hbm.23584. Epub 2017 Mar 25.","Alegria AA","Hum Brain Mapp","2017","2017/03/26","PMC5434828","","10.1002/hbm.23584"
"24261659","To sleep or not to sleep: a systematic review of the literature of pharmacological treatments of insomnia in children and adolescents with attention-deficit/hyperactivity disorder","Barrett JR, Tracy DK, Giaroli G.","J Child Adolesc Psychopharmacol. 2013 Dec;23(10):640-7. doi: 10.1089/cap.2013.0059. Epub 2013 Nov 21.","Barrett JR","J Child Adolesc Psychopharmacol","2013","2013/11/23","PMC3870602","","10.1089/cap.2013.0059"
"28791531","Processing Speed Predicts Behavioral Treatment Outcomes in Children with Attention-Deficit/Hyperactivity Disorder Predominantly Inattentive Type","Adalio CJ, Owens EB, McBurnett K, Hinshaw SP, Pfiffner LJ.","J Abnorm Child Psychol. 2018 May;46(4):701-711. doi: 10.1007/s10802-017-0336-z.","Adalio CJ","J Abnorm Child Psychol","2018","2017/08/10","PMC5807232","NIHMS898670","10.1007/s10802-017-0336-z"
"26900567","Dissociation of working memory impairments and attention-deficit/hyperactivity disorder in the brain","Mattfeld AT, Whitfield-Gabrieli S, Biederman J, Spencer T, Brown A, Fried R, Gabrieli JD.","Neuroimage Clin. 2015 Dec 10;10:274-82. doi: 10.1016/j.nicl.2015.12.003. eCollection 2016.","Mattfeld AT","Neuroimage Clin","2015","2016/02/23","PMC4723732","","10.1016/j.nicl.2015.12.003"
"27132816","Linking state regulation, brain laterality, and self-reported attention-deficit/hyperactivity disorder (ADHD) symptoms in adults","Mohamed SM, Börger NA, Geuze RH, van der Meere JJ.","J Clin Exp Neuropsychol. 2016 Oct;38(8):831-43. doi: 10.1080/13803395.2016.1167174. Epub 2016 May 1.","Mohamed SM","J Clin Exp Neuropsychol","2016","2016/05/03","","","10.1080/13803395.2016.1167174"
"30084523","Identification of neurophysiological biotypes in attention deficit hyperactivity disorder","Barth B, Mayer-Carius K, Strehl U, Kelava A, Häußinger FB, Fallgatter AJ, Ehlis AC.","Psychiatry Clin Neurosci. 2018 Nov;72(11):836-848. doi: 10.1111/pcn.12773. Epub 2018 Sep 5.","Barth B","Psychiatry Clin Neurosci","2018","2018/08/08","","","10.1111/pcn.12773"
"23378043","Examination of spatial working memory performance in children and adolescents with attention deficit hyperactivity disorder, combined type (ADHD-CT) and anxiety","Vance A, Ferrin M, Winther J, Gomez R.","J Abnorm Child Psychol. 2013 Aug;41(6):891-900. doi: 10.1007/s10802-013-9721-4.","Vance A","J Abnorm Child Psychol","2013","2013/02/05","","","10.1007/s10802-013-9721-4"
"26963673","Contribution of animal models to contemporary understanding of Attention Deficit Hyperactivity Disorder","Carvalho C, Vieira Crespo M, Ferreira Bastos L, Knight A, Vicente L.","ALTEX. 2016;33(3):243-9. doi: 10.14573/altex.1507311. Epub 2016 Mar 9.","Carvalho C","ALTEX","2016","2016/03/11","","","10.14573/altex.1507311"
"26406311","Intrinsic Affective Network Is Impaired in Children with Attention-Deficit/Hyperactivity Disorder","Ho NF, Chong JS, Koh HL, Koukouna E, Lee TS, Fung D, Lim CG, Zhou J.","PLoS One. 2015 Sep 25;10(9):e0139018. doi: 10.1371/journal.pone.0139018. eCollection 2015.","Ho NF","PLoS One","2015","2015/09/26","PMC4583510","","10.1371/journal.pone.0139018"
"27015719","Relationship Between Attention-Deficit/Hyperactivity Disorder Care and Medication Continuity","Brinkman WB, Baum R, Kelleher KJ, Peugh J, Gardner W, Lichtenstein P, Langberg J, Epstein JN.","J Am Acad Child Adolesc Psychiatry. 2016 Apr;55(4):289-94. doi: 10.1016/j.jaac.2016.02.001. Epub 2016 Feb 5.","Brinkman WB","J Am Acad Child Adolesc Psychiatry","2016","2016/03/27","PMC4808569","NIHMS758002","10.1016/j.jaac.2016.02.001"
"28103058","Emotion Dysregulation Across Emotion Systems in Attention Deficit/Hyperactivity Disorder","Musser ED, Nigg JT.","J Clin Child Adolesc Psychol. 2019 Jan-Feb;48(1):153-165. doi: 10.1080/15374416.2016.1270828. Epub 2017 Jan 19.","Musser ED","J Clin Child Adolesc Psychol","2019","2017/01/20","PMC6202269","NIHMS1508387","10.1080/15374416.2016.1270828"
"26936037","Preschool Neuropsychological Measures as Predictors of Later Attention Deficit Hyperactivity Disorder","Breaux RP, Griffith SF, Harvey EA.","J Abnorm Child Psychol. 2016 Nov;44(8):1455-1471. doi: 10.1007/s10802-016-0140-1.","Breaux RP","J Abnorm Child Psychol","2016","2016/03/04","PMC5010792","NIHMS765512","10.1007/s10802-016-0140-1"
"27872863","Attention Deficit Disorder and Allergic Rhinitis: Are They Related?","Melamed I, Heffron M.","J Immunol Res. 2016;2016:1596828. doi: 10.1155/2016/1596828. Epub 2016 Oct 31.","Melamed I","J Immunol Res","2016","2016/11/23","PMC5107870","","10.1155/2016/1596828"
"33761719","Knowledge of attention-deficit hyperactivity disorder among the general public, parents, and primary school teachers","See LC, Li HM, Chao KY, Chung CC, Li PR, Lin SR.","Medicine (Baltimore). 2021 Mar 26;100(12):e25245. doi: 10.1097/MD.0000000000025245.","See LC","Medicine (Baltimore)","2021","2021/03/25","PMC9282068","","10.1097/MD.0000000000025245"
"25841538","Treatment of Attention Deficit/Hyperactivity Disorder among Children with Special Health Care Needs","Visser SN, Bitsko RH, Danielson ML, Ghandour RM, Blumberg SJ, Schieve LA, Holbrook JR, Wolraich ML, Cuffe SP.","J Pediatr. 2015 Jun;166(6):1423-30.e1-2. doi: 10.1016/j.jpeds.2015.02.018. Epub 2015 Apr 1.","Visser SN","J Pediatr","2015","2015/04/06","PMC4469986","NIHMS699111","10.1016/j.jpeds.2015.02.018"
"29072186","Greek teachers' knowledge about attention deficit hyperactivity disorder","Giannopoulou I, Korkoliakou P, Pasalari E, Douzenis A.","Psychiatriki. 2017 Jul-Sep;28(3):226-233. doi: 10.22365/jpsych.2017.283.226.","Giannopoulou I","Psychiatriki","2017","2017/10/27","","","10.22365/jpsych.2017.283.226"
"33687158","Similarity of subjective symptoms between autism spectrum disorder and attention-deficit/hyperactivity disorder in adults: Preliminary findings","Nakagawa A, Hayashi W, Nishio T, Hanawa Y, Aoyagi K, Okajima Y, Iwanami A.","Neuropsychopharmacol Rep. 2021 Jun;41(2):237-241. doi: 10.1002/npr2.12170. Epub 2021 Mar 9.","Nakagawa A","Neuropsychopharmacol Rep","2021","2021/03/09","PMC8340843","","10.1002/npr2.12170"
"28674760","Medical comorbidities in children and adolescents with autism spectrum disorders and attention deficit hyperactivity disorders: a systematic review","Muskens JB, Velders FP, Staal WG.","Eur Child Adolesc Psychiatry. 2017 Sep;26(9):1093-1103. doi: 10.1007/s00787-017-1020-0. Epub 2017 Jul 3.","Muskens JB","Eur Child Adolesc Psychiatry","2017","2017/07/05","PMC5591355","","10.1007/s00787-017-1020-0"
"23357443","Emotion regulation and heterogeneity in attention-deficit/hyperactivity disorder","Musser ED, Galloway-Long HS, Frick PJ, Nigg JT.","J Am Acad Child Adolesc Psychiatry. 2013 Feb;52(2):163-171.e2. doi: 10.1016/j.jaac.2012.11.009.","Musser ED","J Am Acad Child Adolesc Psychiatry","2013","2013/01/30","PMC4278408","NIHMS648121","10.1016/j.jaac.2012.11.009"
"29544457","Prevalence of probable Attention-Deficit/Hyperactivity Disorder symptoms: result from a Spanish sample of children","Cerrillo-Urbina AJ, García-Hermoso A, Martínez-Vizcaíno V, Pardo-Guijarro MJ, Ruiz-Hermosa A, Sánchez-López M.","BMC Pediatr. 2018 Mar 15;18(1):111. doi: 10.1186/s12887-018-1083-1.","Cerrillo-Urbina AJ","BMC Pediatr","2018","2018/03/17","PMC5853084","","10.1186/s12887-018-1083-1"
"28408002","Economic Burden of Attention-Deficit/Hyperactivity Disorder among Pediatric Patients in the United States","Gupte-Singh K, Singh RR, Lawson KA.","Value Health. 2017 Apr;20(4):602-609. doi: 10.1016/j.jval.2017.01.007.","Gupte-Singh K","Value Health","2017","2017/04/15","","","10.1016/j.jval.2017.01.007"
"30047479","Association of Polygenic Risk for Attention-Deficit/Hyperactivity Disorder With Co-occurring Traits and Disorders","Du Rietz E, Coleman J, Glanville K, Choi SW, O'Reilly PF, Kuntsi J.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2018 Jul;3(7):635-643. doi: 10.1016/j.bpsc.2017.11.013. Epub 2017 Dec 14.","Du Rietz E","Biol Psychiatry Cogn Neurosci Neuroimaging","2018","2018/07/27","PMC6278881","","10.1016/j.bpsc.2017.11.013"
"25616515","Attention Deficit Hyperactivity Disorder symptoms and smoking trajectories: race and gender differences","Lee CT, Clark TT, Kollins SH, McClernon FJ, Fuemmeler BF.","Drug Alcohol Depend. 2015 Mar 1;148:180-7. doi: 10.1016/j.drugalcdep.2015.01.002. Epub 2015 Jan 13.","Lee CT","Drug Alcohol Depend","2015","2015/01/25","PMC4437797","NIHMS655523","10.1016/j.drugalcdep.2015.01.002"
"35090544","Third-generation cognitive behavioral therapy versus treatment-as-usual for attention deficit and hyperactivity disorder: a multicenter randomized controlled trial","Crouzet L, Gramond A, Suehs C, Fabbro-Peray P, Abbar M, Lopez-Castroman J.","Trials. 2022 Jan 28;23(1):83. doi: 10.1186/s13063-021-05983-2.","Crouzet L","Trials","2022","2022/01/29","PMC8796622","","10.1186/s13063-021-05983-2"
"26797613","Quantitative Evaluation System of Soft Neurological Signs for Children with Attention Deficit Hyperactivity Disorder","Kaneko M, Yamashita Y, Iramina K.","Sensors (Basel). 2016 Jan 18;16(1):116. doi: 10.3390/s16010116.","Kaneko M","Sensors (Basel)","2016","2016/01/23","PMC4732149","","10.3390/s16010116"
"30148660","Attention-Deficit/Hyperactivity Disorder-Related Deficits and Psychostimulant Medication Effects on Comprehension of Audiovisually Presented Educational Material in Children","Orban SA, Karamchandani TA, Tamm L, Sidol CA, Peugh J, Froehlich TE, Brinkman WB, Estell N, Mii AE, Epstein JN.","J Child Adolesc Psychopharmacol. 2018 Dec;28(10):727-738. doi: 10.1089/cap.2018.0006. Epub 2018 Aug 27.","Orban SA","J Child Adolesc Psychopharmacol","2018","2018/08/28","PMC6306678","","10.1089/cap.2018.0006"
"25184287","Linguistic analysis of the Preschool Five Minute Speech Sample: what the parents of preschool children with early signs of ADHD say and how they say it?","Perez E, Turner M, Fisher A, Lockwood J, Daley D.","PLoS One. 2014 Sep 3;9(9):e106231. doi: 10.1371/journal.pone.0106231. eCollection 2014.","Perez E","PLoS One","2014","2014/09/04","PMC4153579","","10.1371/journal.pone.0106231"
"29929487","Health-related quality of life in prisoners with attention-deficit hyperactivity disorder and head injury","Young S, González RA, Fridman M, Hodgkins P, Kim K, Gudjonsson GH.","BMC Psychiatry. 2018 Jun 22;18(1):209. doi: 10.1186/s12888-018-1785-9.","Young S","BMC Psychiatry","2018","2018/06/23","PMC6013883","","10.1186/s12888-018-1785-9"
"24342384","Trends in the parent-report of health care provider-diagnosed and medicated attention-deficit/hyperactivity disorder: United States, 2003-2011","Visser SN, Danielson ML, Bitsko RH, Holbrook JR, Kogan MD, Ghandour RM, Perou R, Blumberg SJ.","J Am Acad Child Adolesc Psychiatry. 2014 Jan;53(1):34-46.e2. doi: 10.1016/j.jaac.2013.09.001. Epub 2013 Nov 21.","Visser SN","J Am Acad Child Adolesc Psychiatry","2014","2013/12/18","PMC4473855","NIHMS699115","10.1016/j.jaac.2013.09.001"
"27567447","Single-dose effects on the P3no-go ERP component predict clinical response to stimulants in pediatric ADHD","Ogrim G, Aasen IE, Brunner JF.","Clin Neurophysiol. 2016 Oct;127(10):3277-87. doi: 10.1016/j.clinph.2016.07.011. Epub 2016 Jul 30.","Ogrim G","Clin Neurophysiol","2016","2016/08/28","","","10.1016/j.clinph.2016.07.011"
"30087369","Identifying individuals with attention deficit hyperactivity disorder based on temporal variability of dynamic functional connectivity","Wang XH, Jiao Y, Li L.","Sci Rep. 2018 Aug 7;8(1):11789. doi: 10.1038/s41598-018-30308-w.","Wang XH","Sci Rep","2018","2018/08/09","PMC6081414","","10.1038/s41598-018-30308-w"
"24103310","Executive function in children with attention deficit/hyperactivity disorder: the NIH EXAMINER battery","Schreiber JE, Possin KL, Girard JM, Rey-Casserly C.","J Int Neuropsychol Soc. 2014 Jan;20(1):41-51. doi: 10.1017/S1355617713001100. Epub 2013 Oct 8.","Schreiber JE","J Int Neuropsychol Soc","2014","2013/10/10","PMC4425416","NIHMS595332","10.1017/S1355617713001100"
"29845681","Attention-deficit/hyperactivity disorder symptoms and suicidal behavior in adult psychiatric outpatients","Stickley A, Tachimori H, Inoue Y, Shinkai T, Yoshimura R, Nakamura J, Morita G, Nishii S, Tokutsu Y, Otsuka Y, Egashira K, Inoue M, Kubo T, Tesen H, Takashima N, Tominaga H, Koyanagi A, Kamio Y.","Psychiatry Clin Neurosci. 2018 Sep;72(9):713-722. doi: 10.1111/pcn.12685. Epub 2018 Jul 4.","Stickley A","Psychiatry Clin Neurosci","2018","2018/05/31","","","10.1111/pcn.12685"
"25855370","Pediatric loss of control eating syndrome: Association with attention-deficit/hyperactivity disorder and impulsivity","Reinblatt SP, Mahone EM, Tanofsky-Kraff M, Lee-Winn AE, Yenokyan G, Leoutsakos JM, Moran TH, Guarda AS, Riddle MA.","Int J Eat Disord. 2015 Sep;48(6):580-8. doi: 10.1002/eat.22404. Epub 2015 Apr 9.","Reinblatt SP","Int J Eat Disord","2015","2015/04/10","PMC4607309","NIHMS670573","10.1002/eat.22404"
"29143159","Six-year outcome in subjects diagnosed with attention-deficit/hyperactivity disorder as adults","Edvinsson D, Ekselius L.","Eur Arch Psychiatry Clin Neurosci. 2018 Jun;268(4):337-347. doi: 10.1007/s00406-017-0850-6. Epub 2017 Nov 15.","Edvinsson D","Eur Arch Psychiatry Clin Neurosci","2018","2017/11/17","PMC5956008","","10.1007/s00406-017-0850-6"
"27223612","EEG Asymmetry and ERN: Behavioral Outcomes in Preschoolers","Begnoche JP, Brooker RJ, Vess M.","PLoS One. 2016 May 25;11(5):e0155713. doi: 10.1371/journal.pone.0155713. eCollection 2016.","Begnoche JP","PLoS One","2016","2016/05/26","PMC4880182","","10.1371/journal.pone.0155713"
"26922623","Sleep habits in children with attention-deficit/hyperactivity disorder predominantly inattentive type and associations with comorbid psychopathology symptoms","Becker SP, Pfiffner LJ, Stein MA, Burns GL, McBurnett K.","Sleep Med. 2016 May;21:151-9. doi: 10.1016/j.sleep.2015.11.011. Epub 2015 Dec 2.","Becker SP","Sleep Med","2016","2016/02/29","PMC4889552","NIHMS742566","10.1016/j.sleep.2015.11.011"
"26336867","Cognitive heterogeneity in adult attention deficit/hyperactivity disorder: A systematic analysis of neuropsychological measurements","Mostert JC, Onnink AMH, Klein M, Dammers J, Harneit A, Schulten T, van Hulzen KJE, Kan CC, Slaats-Willemse D, Buitelaar JK, Franke B, Hoogman M.","Eur Neuropsychopharmacol. 2015 Nov;25(11):2062-2074. doi: 10.1016/j.euroneuro.2015.08.010. Epub 2015 Aug 21.","Mostert JC","Eur Neuropsychopharmacol","2015","2015/09/05","PMC4788979","NIHMS720197","10.1016/j.euroneuro.2015.08.010"
"33929143","The study of Tau and phospho Tau protein levels in attention deficit and hyperactivity disorder","Saraçoğlu H, Kılıç E, Demirci E.","Turk J Med Sci. 2021 Aug 30;51(4):2107-2111. doi: 10.3906/sag-2012-198.","Saraçoğlu H","Turk J Med Sci","2021","2021/04/30","PMC8569781","","10.3906/sag-2012-198"
"29761583","Handwriting assessment to distinguish comorbid learning difficulties from attention deficit hyperactivity disorder in Chinese adolescents: A case-control study","Li-Tsang CWP, Li TMH, Lau MSW, Ho CHY, Leung HWH.","Int J Methods Psychiatr Res. 2018 Dec;27(4):e1718. doi: 10.1002/mpr.1718. Epub 2018 May 15.","Li-Tsang CWP","Int J Methods Psychiatr Res","2018","2018/05/16","PMC6877185","","10.1002/mpr.1718"
"33512815","Attention-deficit hyperactivity disorder symptoms and quality of life in female patients with fibromyalgia","Türkoğlu G.","Turk J Med Sci. 2021 Aug 30;51(4):1747-1755. doi: 10.3906/sag-2010-29.","Türkoğlu G","Turk J Med Sci","2021","2021/01/29","PMC8569760","","10.3906/sag-2010-29"
"25130278","Association between binge eating and attention-deficit/hyperactivity disorder in two pediatric community mental health clinics","Reinblatt SP, Leoutsakos JM, Mahone EM, Forrester S, Wilcox HC, Riddle MA.","Int J Eat Disord. 2015 Jul;48(5):505-11. doi: 10.1002/eat.22342. Epub 2014 Aug 18.","Reinblatt SP","Int J Eat Disord","2015","2014/08/19","PMC4333129","NIHMS616332","10.1002/eat.22342"
"30064848","Classification Accuracy of Neuroimaging Biomarkers in Attention-Deficit/Hyperactivity Disorder: Effects of Sample Size and Circular Analysis","Pulini AA, Kerr WT, Loo SK, Lenartowicz A.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Feb;4(2):108-120. doi: 10.1016/j.bpsc.2018.06.003. Epub 2018 Jun 27.","Pulini AA","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2018/08/02","PMC6310118","NIHMS990783","10.1016/j.bpsc.2018.06.003"
"24885526","Adult attention-deficit/hyperactivity disorder and nicotine use: a qualitative study of patient perceptions","Liebrenz M, Frei A, Fisher CE, Gamma A, Buadze A, Eich D.","BMC Psychiatry. 2014 May 16;14:141. doi: 10.1186/1471-244X-14-141.","Liebrenz M","BMC Psychiatry","2014","2014/06/03","PMC4037284","","10.1186/1471-244X-14-141"
"24330331","Attention deficit/hyperactivity disorders with co-existing substance use disorder is characterized by early antisocial behaviour and poor cognitive skills","Bihlar Muld B, Jokinen J, Bölte S, Hirvikoski T.","BMC Psychiatry. 2013 Dec 13;13:336. doi: 10.1186/1471-244X-13-336.","Bihlar Muld B","BMC Psychiatry","2013","2013/12/17","PMC3878757","","10.1186/1471-244X-13-336"
"26151738","Early Morning Functioning in Stimulant-Treated Children and Adolescents with Attention-Deficit/Hyperactivity Disorder, and its Impact on Caregivers","Sallee FR.","J Child Adolesc Psychopharmacol. 2015 Sep;25(7):558-65. doi: 10.1089/cap.2014.0160. Epub 2015 Jul 7.","Sallee FR","J Child Adolesc Psychopharmacol","2015","2015/07/08","PMC4576958","","10.1089/cap.2014.0160"
"26507746","The influence of comorbid oppositional defiant disorder on white matter microstructure in attention-deficit/hyperactivity disorder","van Ewijk H, Noordermeer SD, Heslenfeld DJ, Luman M, Hartman CA, Hoekstra PJ, Faraone SV, Franke B, Buitelaar JK, Oosterlaan J.","Eur Child Adolesc Psychiatry. 2016 Jul;25(7):701-10. doi: 10.1007/s00787-015-0784-3. Epub 2015 Oct 27.","van Ewijk H","Eur Child Adolesc Psychiatry","2016","2015/10/29","PMC4932146","","10.1007/s00787-015-0784-3"
"26744906","Impulsive Aggression as a Comorbidity of Attention-Deficit/Hyperactivity Disorder in Children and Adolescents","Saylor KE, Amann BH.","J Child Adolesc Psychopharmacol. 2016 Feb;26(1):19-25. doi: 10.1089/cap.2015.0126. Epub 2016 Jan 8.","Saylor KE","J Child Adolesc Psychopharmacol","2016","2016/01/09","PMC4779282","","10.1089/cap.2015.0126"
"28893412","Attention-deficit/hyperactivity disorder and callous-unemotional traits as moderators of conduct problems when examining impairment in emerging adults","Babinski DE, Neely KA, Kunselman A, Waschbusch DA.","Psychiatry Res. 2017 Dec;258:525-530. doi: 10.1016/j.psychres.2017.09.001. Epub 2017 Sep 5.","Babinski DE","Psychiatry Res","2017","2017/09/13","PMC5681382","NIHMS905194","10.1016/j.psychres.2017.09.001"
"27918425","The Influence of Health Behaviours in Childhood on Attention Deficit and Hyperactivity Disorder in Adolescence","Wu X, Ohinmaa A, Veugelers PJ.","Nutrients. 2016 Dec 2;8(12):788. doi: 10.3390/nu8120788.","Wu X","Nutrients","2016","2016/12/06","PMC5188443","","10.3390/nu8120788"
"24647218","Prevalence and correlates of attention deficit hyperactivity disorder in adults from a French community sample","Caci HM, Morin AJ, Tran A.","J Nerv Ment Dis. 2014 Apr;202(4):324-32. doi: 10.1097/NMD.0000000000000126.","Caci HM","J Nerv Ment Dis","2014","2014/03/21","","","10.1097/NMD.0000000000000126"
"24111650","Family income in early childhood and subsequent attention deficit/hyperactivity disorder: a quasi-experimental study","Larsson H, Sariaslan A, Långström N, D'Onofrio B, Lichtenstein P.","J Child Psychol Psychiatry. 2014 May;55(5):428-35. doi: 10.1111/jcpp.12140. Epub 2013 Sep 23.","Larsson H","J Child Psychol Psychiatry","2014","2013/10/12","PMC3962802","NIHMS491944","10.1111/jcpp.12140"
"24954823","Impact of the DSM-5 attention-deficit/hyperactivity disorder age-of-onset criterion in the US adolescent population","Vande Voort JL, He JP, Jameson ND, Merikangas KR.","J Am Acad Child Adolesc Psychiatry. 2014 Jul;53(7):736-44. doi: 10.1016/j.jaac.2014.03.005. Epub 2014 Apr 23.","Vande Voort JL","J Am Acad Child Adolesc Psychiatry","2014","2014/06/24","PMC11503659","NIHMS600949","10.1016/j.jaac.2014.03.005"
"24819333","Brainstem abnormalities in attention deficit hyperactivity disorder support high accuracy individual diagnostic classification","Johnston BA, Mwangi B, Matthews K, Coghill D, Konrad K, Steele JD.","Hum Brain Mapp. 2014 Oct;35(10):5179-89. doi: 10.1002/hbm.22542. Epub 2014 May 13.","Johnston BA","Hum Brain Mapp","2014","2014/05/14","PMC6869620","","10.1002/hbm.22542"
"27991834","Caregiver Treatment Preferences for Children with a New Versus Existing Attention-Deficit/Hyperactivity Disorder Diagnosis","dosReis S, Park A, Ng X, Frosch E, Reeves G, Cunningham C, Janssen EM, Bridges JFP.","J Child Adolesc Psychopharmacol. 2017 Apr;27(3):234-242. doi: 10.1089/cap.2016.0157. Epub 2016 Dec 19.","dosReis S","J Child Adolesc Psychopharmacol","2017","2016/12/20","PMC5397221","","10.1089/cap.2016.0157"
"23660373","Omega-3 fatty acids are related to abnormal emotion processing in adolescent boys with attention deficit hyperactivity disorder","Gow RV, Sumich A, Vallee-Tourangeau F, Crawford MA, Ghebremeskel K, Bueno AA, Hibbeln JR, Taylor E, Wilson DA, Rubia K.","Prostaglandins Leukot Essent Fatty Acids. 2013 Jun;88(6):419-29. doi: 10.1016/j.plefa.2013.03.008. Epub 2013 May 6.","Gow RV","Prostaglandins Leukot Essent Fatty Acids","2013","2013/05/11","PMC5559876","NIHMS631375","10.1016/j.plefa.2013.03.008"
"22906981","Evaluating executive function in schoolchildren with symptoms of attention deficit hyperactivity disorder","Vélez-van-Meerbeke A, Zamora IP, Guzmán G, Figueroa B, López Cabra CA, Talero-Gutiérrez C.","Neurologia. 2013 Jul-Aug;28(6):348-55. doi: 10.1016/j.nrl.2012.06.011. Epub 2012 Aug 18.","Vélez-van-Meerbeke A","Neurologia","2013","2012/08/22","","","10.1016/j.nrl.2012.06.011"
"25519454","Functional MRI compliance in children with attention deficit hyperactivity disorder","Karakaş S, Doğutepe Dinçer E, Özkan Ceylan A, Tileylioğlu E, Karakaş HM, Talı ET.","Diagn Interv Radiol. 2015 Jan-Feb;21(1):85-92. doi: 10.5152/dir.2014.14006.","Karakaş S","Diagn Interv Radiol","2015","2014/12/19","PMC4463357","","10.5152/dir.2014.14006"
"23347704","State-based and demographic variation in parent-reported medication rates for attention-deficit/hyperactivity disorder, 2007-2008","Visser SN, Blumberg SJ, Danielson ML, Bitsko RH, Kogan MD.","Prev Chronic Dis. 2013;10:E09. doi: 10.5888/pcd9.120073.","Visser SN","Prev Chronic Dis","2013","2013/01/26","PMC3557013","","10.5888/pcd9.120073"
"29871841","[Health-related quality of life in cases of attention deficit hyperactivity disorder with and without pharmacological treatment]","López-Villalobos JA, Sacristán-Martín AM, Garrido-Redondo M, Martínez-Rivera MT, López-Sánchez MV, Rodríguez-Molinero L, Camina-Gutiérrez AB, Andrés-de Llano J.","An Pediatr (Engl Ed). 2019 May;90(5):272-279. doi: 10.1016/j.anpedi.2018.04.016. Epub 2018 Jun 2.","López-Villalobos JA","An Pediatr (Engl Ed)","2019","2018/06/07","","","10.1016/j.anpedi.2018.04.016"
